Domain,TLD,Domain_Length,Has_Numbers,Has_Hyphen,Registrar,Creation_Date,Last_Update_Date,Reputation,Malicious_Votes,Suspicious_Votes,Harmless_Votes,Undetected_Votes,Total_Engines,Threat_Severity,Categories,Popularity_Rank,Last_Analysis_Date,WHOIS_Summary,Data_Source,Enrichment_Breakdown
urlhaus.abuse.ch,ch,16,No,No,Unknown,,,2.0,0,0,59,32,91,Low,{},10000,,DNSSEC:Y,VirusTotal,
bazaar.abuse.ch,ch,15,No,No,Unknown,,,6.0,1,0,58,32,91,Low,{},100000,,DNSSEC:Y,VirusTotal,
feodotracker.abuse.ch,ch,21,No,No,Unknown,,,1.0,0,0,59,32,91,Low,{},10000,,DNSSEC:Y,VirusTotal,
sslbl.abuse.ch,ch,14,No,No,Unknown,,,0.0,0,0,59,32,91,Low,{},910000,,DNSSEC:Y,VirusTotal,
threatfox.abuse.ch,ch,18,No,No,Unknown,,,0.0,0,0,58,33,91,Low,{},910000,,DNSSEC:Y,VirusTotal,
spamhaus.org,org,12,No,No,Unknown,,,-1.0,0,0,60,31,91,Low,"{'BitDefender': 'computersandsoftware', 'Sophos': 'information technology', 'Forcepoint ThreatSeeker': 'information technology'}",38402,,"Administrative city: REDACTED FOR PRIVACY
Administrative country: United States
Administrative email",VirusTotal,
dshield.org,org,11,No,No,"NameCheap, Inc.",,,0.0,0,0,57,34,91,Low,{},473119,,"Creation Date: 2000-07-07T20:21:49Z
DNSSEC: signedDelegation
Domain Name: dshield.org
Domain Status:",VirusTotal,
blocklist.de,de,12,No,No,Unknown,,,1.0,0,0,58,33,91,Low,{},292050,,"Changed: 2025-11-27T09:32:58+01:00
Domain: blocklist.de
Nserver: shubhi.ns.cloudflare.com
Nserver: t",VirusTotal,
openphish.com,com,13,No,No,Porkbun LLC,,,44.0,0,0,57,34,91,Low,{},259210,,"Creation Date: 2014-07-01T17:35:04Z
DNSSEC: unsigned
Domain Name: OPENPHISH.COM
Domain Status: clien",VirusTotal,
phishtank.org,org,13,No,No,PDR Ltd. d/b/a PublicDomainRegistry.com,,,140.0,0,0,58,33,91,Low,{},295994,,"Creation Date: 2006-08-30T23:19:41Z
DNSSEC: unsigned
Domain Name: phishtank.org
Domain Status: clien",VirusTotal,
stopforumspam.com,com,17,No,No,NAMECHEAP INC,,,0.0,0,0,58,33,91,Low,{},150122,,"Admin City: Reykjavik
Admin Country: IS
Admin Email: b97fda9dfe114d0cs@withheldforprivacy.com
Admin",VirusTotal,
malware-traffic-analysis.net,net,28,No,Yes,NAMECHEAP INC,,,1.0,0,0,59,32,91,Low,{},840065,,"Admin City: Reykjavik
Admin Country: IS
Admin Email: e8d7cc4a3d280f98s@withheldforprivacy.com
Admin",VirusTotal,
zeustracker.abuse.ch,ch,20,No,No,Unknown,,,0.0,0,0,56,35,91,Low,{},910000,,DNSSEC:Y,VirusTotal,
palevotracker.abuse.ch,ch,22,No,No,Unknown,,,0.0,0,0,56,35,91,Low,{},910000,,DNSSEC:Y,VirusTotal,
spyeyetracker.abuse.ch,ch,22,No,No,Unknown,,,0.0,0,0,55,36,91,Low,{},910000,,DNSSEC:Y,VirusTotal,
virusshare.com,com,14,No,No,"TUCOWS.COM, CO.",,,1.0,0,0,58,33,91,Low,{},279767,,"Creation Date: 2011-11-08T23:10:17
Creation Date: 2011-11-08T23:10:17Z
DNSSEC: unsigned
Domain Name:",VirusTotal,
