IP,Country,Continent,ASN,Owner,Network,Malicious_Votes,Suspicious_Votes,Harmless_Votes,Undetected_Votes,Total_Reports,Reputation_Score,Threat_Label,Threat_Category,Regional_Registry,WHOIS_Summary,Tor_Node,Times_Submitted,Last_Analysis_Date,Threat_Severity,Data_Source,Enrichment_Breakdown
176.10.99.200,CH,EU,51395 datasource ag,Datasource AG,176.10.99.200/32,45,0,1,0,0,-3.5,malicious,malware,RIPE NCC,"ISP: Datasource AG
Domain: datasource.ch",No,1,2026-05-24,Medium,csv_import,
176.10.99.201,CH,EU,51395.0,Datasource AG,176.10.96.0/19,0,1,53,37,91,0.0,unrated,clean,RIPE NCC,"inetnum: 176.10.99.192 - 176.10.99.223
netname: Feral214Management
country: CH
admin-c: RT4480-RIPE",No,0,,Low,csv_import,
77.247.181.162,NL,EU,43350.0,NForce Entertainment B.V.,77.247.176.0/21,4,1,53,33,91,-19.0,unrated,clean,RIPE NCC,"inetnum: 77.247.181.160 - 77.247.181.175
netname: ZWIEBELFREUNDE
descr: Customer 692 / Zwiebelfreund",No,0,,Medium,csv_import,
77.247.181.163,NL,EU,43350.0,NForce Entertainment B.V.,77.247.176.0/21,2,2,55,32,91,-16.0,clean,clean,RIPE NCC,"inetnum: 77.247.181.160 - 77.247.181.175
netname: ZWIEBELFREUNDE
descr: Customer 692 / Zwiebelfreund",No,0,,Low,csv_import,
199.87.154.255,CA,Unknown,18451.0,LES.NET,199.87.152.0/21,2,0,54,35,91,-1.0,unrated,clean,ARIN,"LES.NET LESNET-V4-2 (NET-199-87-152-0-1) 199.87.152.0 - 199.87.159.255
TOR Exit Gateway LESNE (NET-1",No,0,,Low,csv_import,
108.62.14.195,US,Unknown,395954.0,"Leaseweb USA, Inc.",108.62.8.0/21,0,0,0,91,91,0.0,unrated,unrated,ARIN,"Leaseweb USA, Inc. NET-108-62-0-0-1 (NET-108-62-0-0-1) 108.62.0.0 - 108.62.255.255
LeaseWeb USA, Inc",No,0,,Low,csv_import,
185.220.101.1,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,17,2,43,29,91,-23.0,unrated,clean,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.2,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,11,4,45,31,91,-14.0,unrated,clean,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.3,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,14,2,46,29,91,-16.0,unrated,malware,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.4,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,12,3,46,30,91,-18.0,unrated,malware,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.9,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,13,3,45,30,91,-57.0,unrated,malware,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.10,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,14,2,44,31,91,-14.0,unrated,malware,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.11,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,12,2,46,31,91,-16.0,unrated,clean,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.12,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,13,3,45,30,91,-16.0,unrated,malware,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
185.220.101.13,DE,EU,60729.0,Stiftung Erneuerbare Freiheit,185.220.101.0/24,18,3,42,28,91,-28.0,unrated,malware,RIPE NCC,"inetnum: 185.220.101.0 - 185.220.101.31
netname: ARTIKEL10
country: DE
org: ORG-AE101-RIPE
admin-c:",Yes,0,,High,csv_import,
