Domain,TLD,Domain_Length,Has_Numbers,Has_Hyphen,Registrar,Creation_Date,Last_Update_Date,Reputation,Malicious_Votes,Suspicious_Votes,Harmless_Votes,Undetected_Votes,Total_Engines,Threat_Severity,Categories,Popularity_Rank,Last_Analysis_Date,WHOIS_Summary,Data_Source
urlhaus.abuse.ch,ch,16,No,No,Unknown,Unknown,Unknown,2,0,0,59,32,91,Low,{},Unknown,1777636885.0,DNSSEC:Y,VirusTotal
bazaar.abuse.ch,ch,15,No,No,Unknown,Unknown,Unknown,6,1,0,58,32,91,Low,{},Unknown,1777636949.0,DNSSEC:Y,VirusTotal
feodotracker.abuse.ch,ch,21,No,No,Unknown,Unknown,Unknown,1,0,0,59,32,91,Low,{},Unknown,1777627712.0,DNSSEC:Y,VirusTotal
sslbl.abuse.ch,ch,14,No,No,Unknown,Unknown,Unknown,0,0,0,59,32,91,Low,{},Unknown,1777604552.0,DNSSEC:Y,VirusTotal
threatfox.abuse.ch,ch,18,No,No,Unknown,Unknown,Unknown,0,0,0,58,33,91,Low,{},Unknown,1777637682.0,DNSSEC:Y,VirusTotal
spamhaus.org,org,12,No,No,Unknown,938736000.0,1766534400.0,-1,0,0,60,31,91,Low,"{'BitDefender': 'computersandsoftware', 'Sophos': 'information technology', 'Forcepoint ThreatSeeker': 'information technology'}",38402.0,1777637884.0,"Administrative city: REDACTED FOR PRIVACY
Administrative country: United States
Administrative email",VirusTotal
dshield.org,org,11,No,No,"NameCheap, Inc.",963001309.0,1756919098.0,0,0,0,57,34,91,Low,{},473119.0,1777604231.0,"Creation Date: 2000-07-07T20:21:49Z
DNSSEC: signedDelegation
Domain Name: dshield.org
Domain Status:",VirusTotal
blocklist.de,de,12,No,No,Unknown,Unknown,Unknown,1,0,0,58,33,91,Low,{},292050.0,1777626412.0,"Changed: 2025-11-27T09:32:58+01:00
Domain: blocklist.de
Nserver: shubhi.ns.cloudflare.com
Nserver: t",VirusTotal
openphish.com,com,13,No,No,Porkbun LLC,1404236104.0,1751250585.0,44,0,0,57,34,91,Low,{},259210.0,1777610905.0,"Creation Date: 2014-07-01T17:35:04Z
DNSSEC: unsigned
Domain Name: OPENPHISH.COM
Domain Status: clien",VirusTotal
phishtank.org,org,13,No,No,PDR Ltd. d/b/a PublicDomainRegistry.com,1156979981.0,1754896579.0,140,0,0,58,33,91,Low,{},295994.0,1777629930.0,"Creation Date: 2006-08-30T23:19:41Z
DNSSEC: unsigned
Domain Name: phishtank.org
Domain Status: clien",VirusTotal
stopforumspam.com,com,17,No,No,NAMECHEAP INC,1189354046.0,1723000466.0,0,0,0,58,33,91,Low,{},150122.0,1777572732.0,"Admin City: Reykjavik
Admin Country: IS
Admin Email: b97fda9dfe114d0cs@withheldforprivacy.com
Admin ",VirusTotal
malware-traffic-analysis.net,net,28,No,Yes,NAMECHEAP INC,1371187992.0,1747297870.0,1,0,0,59,32,91,Low,{},840065.0,1777624127.0,"Admin City: Reykjavik
Admin Country: IS
Admin Email: e8d7cc4a3d280f98s@withheldforprivacy.com
Admin ",VirusTotal
zeustracker.abuse.ch,ch,20,No,No,Unknown,Unknown,Unknown,0,0,0,56,35,91,Low,{},Unknown,1777466702.0,DNSSEC:Y,VirusTotal
palevotracker.abuse.ch,ch,22,No,No,Unknown,Unknown,Unknown,0,0,0,56,35,91,Low,{},Unknown,1776153167.0,DNSSEC:Y,VirusTotal
spyeyetracker.abuse.ch,ch,22,No,No,Unknown,Unknown,Unknown,0,0,0,55,36,91,Low,{},Unknown,1777463864.0,DNSSEC:Y,VirusTotal
